content,sentiment
Qué triste ver que el odio por una mujer esté por encima de la razón,N
@BreNdiiuXx @BaldiHotSpring1 ya se no quería salirme de las aguas termales mañana voy a Monteverde a ver que tal,P
Que viene Nonpa y fijo es para mayores. Ya lloro.,N
"Tengo que aprender a no prestar mis cosas, porque al parecer a todas se les hace muy divertido nunca devolverlas",N
Que dicha que me vale todo lo que todo el mundo diga,P
Ahora tengo que dormir llena de repelente,NONE
No sé ni qué leer para tratar de entender lo que va a pasar. Todas mis fuentes usuales fallaron,N
"El Turrialba me odia, en definitiva, es el milésimo ataque de asma en el semestre",N
"@iMCZC Ay, no me diga eso, todo es posible aún.",P
@jdclarke y que el mae no sea tan desastroso como aparentó durante la campaña. Hope is all we have left,N
"@soofpe06 JAJA y ya ni eso, porque fijo no nos dejan entrar jajajaja",N
"@m_elinna jajajaja yo pensé que había captado la indirecta pero si, está vacilon el avatar",NEU
¡Ya tenemos ganadora! Felicidades @IsabelGarbanzo Nos hablamos por mensaje. ¡Gracias a todos por participar!,P
"PSC / PSOE, Podemos / Izquierda Unida distanciados, jeje!",NONE
Hoy tuve un día muy lindo me chinearon mucho 2 amigos y el jueves uno que amo mucho.,P
"@valeub25 pues sí, sé lo que se siente. Pero piénselo como el último esfuerzo, que ya ahorita llegan las vacaciones",P
@gabrielselva_cr pura vida. Ya llamé pero fue como no haber llamado.,N
Estos días me he soñado con el accidente varias veces Increíble el trauma que generan estas cosas!,N
Me siento tan feliz esta semana cerró bien,P
Cuando cuando estás taaann cansado que no podes dormir,N
"Díganle a Hellen que la extraño, odio estar sola",N
Tan sólo es un mal día no una mala vida,N
No puedo entrar a mi servidor!  y site5 no reponde,N
@charito_garcia_ Pues es un buen momento para hacerlo!,P
@silviauc_cr charita que ya no canto igual,N
"Hoy tenemos la sección ""De su propia voz"" y es por parte del grupo @limite21 ¿Qué nos contarán? Descubrílo en…",NONE
Alguna película tuanis que este en Netflix que me quieran recomendar ? #GenteQueNoCoge,NONE
La vida es demasiado corta para seguir las reglas...,NEU
"Ayer descubrí que no soy amargada, en realidad soy preocupada.",NONE
Acabo de tener una idea formidable que involucra a @tsaitami y por eso le mandé un correo,P
"Decirle a un mae ""perro"" es una ofensa para los pobres animalitos",N
aw Tae lo que daría por poder abrazarte,P
"@fabriziobarth lo siento mucho. Pero si Facebook lo dice, es cierto. Sentido pésame...",N
@Edurraiba es lamentable un tema tan sensible jamás con ese enfoque,N
Esa lagartija tiene que haber estado muy enamorada de mi perrito. Canta llamándolo a la misma hora a diario y él hace mucho se fue,P
Que duro iniciar el día con noticias tristes,N
"O mejor que me digan ""vamos a comer un helado"" y ya.. Ocupo salir",NEU
@karlillag Es muy duro para un niño verse forzado a ser parte de esos procesos,N
"@Fressia_Montero ¿por qué ? ¡Tenés 9 días, actividades y muchas películas disponibles para asistir!",P
"@MedioEnSalsaCR Por supuesto que no le importo a nadie. Soy hombre, eurodescendiente, heterosexual y católico. cc @titabobra",N
".@FannyLu dice que ""Llorar es una locura"" ¿Que opinás? Si decís ¡Sí! entonces a cantar",P
@Jaspn_ Yo voy de fijo. Ahora llamo a reservar,NONE
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @azul999fm,NEU
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @lamejor991fm,NONE
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @OK1055FM,NONE
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @radiocientotres,NONE
"@melangelesvc Ni tamales, pierna, ""fresquitos"", queque... nada!",N
"Y en el café sonó ""Son Inú"". Y hasta los que estábamos sentados, nos meneamos",P
"Malparidos! Malditos! Malnacidos! Ya hay carta de Lillie en ""Full Art"" y todo y de Serena nada",N
@gbviquez yo quería que me dieran la bcr así,NONE
"@TutzyFF jajaja que bueno verla anoche, que pases un excelente día",P
Él se ha ganado un lugar especial en mi corazón.,P
@fabian05_p perdida ya no tomo coca.,NONE
Quiero que en serio me paguen para poder irme a rayar la otra semana,NEU
@XiniaCH Xinia de mi vida tenía toda la intención pero se me hizo imposible al final del día,NONE
Amanecí lleno de la comilona anoche en el #BNOpenHouse ...pero siempre hay campo para más . A desayunar,P
"¡Buenos días! Con o sin gripe, hoy se disfruta el día.",P
"@AzulAlytaSoy nombs cuál tercera. Yo voy a muchas actividades de @bnmascerca en el año, ya van más de tres",NONE
Necesito unos tacones negros a las ya,NONE
@Linnjimenez y uno se pone triste cuando no quedan papas en la bolsa.,N
@SoulsTRK @youcaring ¡COMO QUISIERA AYUDAR! Pero no puedo soy menor y no tengo tarjeta y mucho menos dinero si tuviera ¡le daría todo!!,N
Hoy llegué 50 minutos tarde a clases. Fui literalmente solo 10 minutos. Duré 2hrs35min llegando a la U.,N
La segunda temporada de Fuller house me duró 3 días.,NONE
Estos serán los dos últimos shows que bailo con mis minis bboys.,NONE
"@gabrielselva_cr Ah no, es en el Auditorio Nacional. Hasta el próximo año en Marzo jaja",NONE
"@afranchesqui @marhegu Sí, también he leído quejas en twitter sobre la interacción social en los buses.",NONE
Estaba durmiendo tan ricooo jaja que cólera que me dio cuando me despertaron,N
"@Ana_AvilaM hmmmm no sé, aún las siento pegadas en el cielo de la boca",NEU
@fersalas2205 Yo igual no trabajo el 26.,NONE
@cotarola No salí. No puedo manejar: Migraña,N
Necesito ir a mi hogar y dormir con mis dos hijos peludos y Kabek y su gripe,N
"Porqué terminaba contrato, ya ví seguro se fue solito",NONE
Me hace sentir tan bien al ver a mi ex y no sentir absolutamente nada por el,P
"En definitiva! Me quedé sin campo para ir a Tacares, ya que me había mentalizado y ya hasta quería ir #percebe",N
#YSF2 @MundonickLA La mejor serie en todo el mundo !!!,P
Será que en serio alguien puede dormir tanto,N
@SanzZeriTica y qué? No será la primera vez,NONE
@wkCArlos yo soy igual Jajajaja trató de evitarlo pero no lo logro,NEU
Que buena vibra me transmite @Cocofunka,P
Adquirí @semrush_es para un sitio que abarcara 10 países y hasta el momento me ha parecido una excelente herramienta.,P
"Un País tan afectado como Haití, necesita del mundo entero.",NONE
"@DraHongo y son adorables, pero diay... Ya no hay nada que hacer",NEU
@solounrobot @TVyNovelasMex ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!,P
@jevs_ Acabo de llamar y si tienen! Muchísimas gracias,NONE
Cuando hago desordenes con el horario de la comida me agarra un dolor de cabeza permanente,N
"NUNCA dejen el Snapchat abierto en el celular de la mamá, creo hoy duermo en la calle",N
Creo que tengo una contractura en los hombros así o más hecha picha?,N
#superluna eectativa vs realidad. Gracias • • • • • • • #crc #puravida #costarica…,NEU
"@ESPN_FDJ Soy de CR estudiante de periodismo me encanta el ámbito deportivo los admiro y sueño con conocerlos, porfaa? #FDJPuraVida",P
Si la U cerró todo... entonces yo estoy libre hasta el lunes,NONE
"Que bonito, la lluvia regresa cuando me toca ir por mi Hermanita al Kinder",N
Alguien tiene algún contacto que haga queques navideños?,NONE
ustedes saben que mi vida se basa en vistos.,NEU
Se lesiona Bale antes del clásico,N
@cris525cr que todo les salga muy bonito,P
"Sin Morata, Kroos, Bale y puede que aún sin Casemiro para el clásico",NONE
"@francellabrenes Rajado, y mientras llega acá",N
@funfillegamer Soy muy malo funfi me da pena y todo,N
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",N
"11.46PM y tengo hambre, mejor me acuesto ya por que la panadería está cerrada",N
@isamarsanchezg Antes era más seguido Saliamos por batidos de maracuyá,NONE
@AndreaVasRo Lo es. Sin ningún respeto al dolor ajeno,N
Badilla era tan tan guapo que sentí feo cuando me di cuenta,N
Yo si que odio recibir noticias así,N
Ay la canción de tercer cielo,NONE
@welcometofridda jajajaja ya en serio me haces falta,N
@Adri_hdezv Bby muy duro la verdad,N
"@AndreaVasRo @vulturgryphus Otra decepción... (me estoy haciendo la víctima dramática, obvio)",N
@MaryMatamoros Éxitos y buena vibra en el recital!,P
Que pecadito la gente afectada por las inundaciones,N
"tengo como 10 horas de estar mareado y con ganas de vomitar, ya esta bueno verdad.",N
"@titabobra exacto, qué colera me da eso",N
"Mi mamá me dice que no vaya al colé, en serio que la amo. Pero tengo que ir",P
No mames lo triste Gabriel Badilla y por el corazon! El miedo que me dan esas cosas.,N
Lamentable lo de Badilla... un sentido pesame para sus hijas que se quedan sin papá,N
"Oído en McDonalds ""el mejor mannequin challenge que he visto hasta ahora es el que ha venido haciendo este gobierno desde hace dos años""",N
Maldita lluvia me mata mi negocio. Así nadie quiere bañar ni sacar a los perros.,N
Veo que sí la depresión tropical se convierte en huracán se llamará Otto. Que comience el MemeFest!,N
"Hola, @latrwn1. En este momento no lo tenemos, pero como siempre: queda encargado para el próximo pedido",NONE
"El tren cada media hora es un mito urbano, no ha pasado el de las 9",NONE
Lamentable informan que murió Gabriel Badilla. #RIPGladiador,N
Yo sí lo sentí y me lleva puta,N
"Hola, soy Sole, el sismógrafo humano",NONE
"@ushcala que bueno, claro que si, envíame tu dirección de correo por DM",NONE
"@AnDiGu Hola, me dijo que estaba bien, fuertes aguaceros y mucho viento pero todo bajo control. Gracias por preguntar",P
@moboza pavas igual y no nos.dejaron irnos a la casa,N
"@rafa514x excelente, estamos muy atentos a tus comentarios",P
@_AlejandroDP no estoy en la zona roja,NONE
Juro que el próximo cuatri busco aparta con alguien no puedo con esto de estar sola,N
@ekallestad qué bien suena una nórdica hablando en argento,P
En Heredia ese temblor se sintió leve pero horrible,N
Quiero una caldosa y un granizado.,NONE
Uri por cobarde se fue en la colada. #moisesylos10mandamientos,N
"@Erito0513 Shi, pero como el año pasado no jajaja ah creo que no fuiste",NONE
Otro terremoto y otra alerta de Tsunami para Japón.,N
desde hoy en la pura mañanita no veo a mi papá,N
@valegarrou jaja es lo menos que hago por dicha pero si paso pegado a FB,NONE
"Exijo un beso como el de Carl y Enid, que lindoooooo. Wtf #twd",P
Los anuncios de TV de posgrados de mi alma mater son tan malos.,N
"@anamablaba buena idea, anis, pero ellos saben que yo ni un pancake puedo hacer bien",NEU
@emacavi @ViuditaCR como dijo ud Algo Similar entonces.,NONE
"Bueno por dicha ya estoy en Zarcero, no estoy en la calle. haha",P
"Que se hace cuando mi mamá tiene facebook, y no me da pelota por estar metida en el celular.",N
@zeroanima tómese de algo de una vez y listo,NONE
"@valealfaroq Yo ando en las mismas, pero no tanto dolor sino inflamación y parezco embarazada. ¡Qué horror!",N
En enero la ropa está más barata por si no sabían,NONE
Que triste todo este cierre de año para mi 🇨🇷 linda,N
"@mishafantana si obvio eso es lo importante, gracias por preguntar",P
En mi pueblo anda una patrulla de @fuerzapublicaCR recolectando alimentos no perecederos. En mi casa ya donamos #CostaRicaUnida,P
"@Brenes0791 Yo estoy super ansiosa, el asueto me da la tranquilidad de estar con mis papás, nada más",N
@meLiKosha @sputnk no vi esto igual no podía hacer mucho,N
"@Maluavi @edmed82 @figuerescr invitadísimo a hacer las cosas diferente, hay que involucrarse y dar espacios a la mejor gente.",NONE
@massiel_ml amiga siiii y la pobresa extrema sigue,NONE
Yo ya estoy con gripe y ni me he mojado,NONE
@andynuinsa @NachoSantos7 me dejo congelado. Por algo es el amo de los ratings!!!,P
@NeneAlfaroB Amén! En serio hay q hacerlo,NONE
Mis anteojos están demasiado flojos y eso que tienen meses de comprados,N
Yo solo estoy pensando en proteger a mis gatos y a la perrita,NONE
Segundo cuarto y Golden ya lleva 73 puntos,P
"@KimSalas21 La vida conspira en contra de uno, que injusto jaja.",N
"En Curridabat muy calmado, ni una gota de agua y hasta caliente está 20°v... #nomegusta",N
@car_hidalgo lo hacen a diario. Hoy es más palpable por la emergencia. ️,NONE
"@vesamo13 ok, vea el lado positivo, tiene un motivo para hacerle drama el resto de si vida.",P
"@gaby_mata25 La voz sepsi que debe tener Que dicha Gaby! Ya el lunes regresará ""con toda la pata""",P
Esta va a ser la noche más larga para muchos,N
@conoche repollo Ud últimamente como que muy amargo,N
@tvnnoticias No para esa hora. Es devastador el efecto de #OttoCR en mi país en realidad,N
"@GLOri_177 Gloria, ¿en serio? Es muy probable, qué triste.",N
Hoy puede ser el penúltimo capítulo de Ragnar Lothbrok,NONE
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,N
@WancitoCubero @ericsolanog Me uno a la triste historia de no vacas,N
"Que chiva pasar debajo del puente de la platina, siempre he querido ...es en serio.",P
"¡¡EL PUEBLO MÁS BONITO DE ESPAÑA 2016!! Enhorabuena @viniegradeabajo Sólo Rioja, sólo bueno",P
@Bejardo ahh no eso fijo... Pero en este caso en especifico hablo solamente de vestimenta,NEU
Estoy solita en la oficina... pondré mis vídeos de cosas paranormales sin audífonos,NONE
@gat1tu sólo viste feo... Lo demás todo ok,NEU
Ayer inicie con mi proyecto de hacerme mi propia huerta,NONE
Que dicha que hay trabajo y salud y vacaciones también,P
@joharoversi ja ja pero está precioso el condenado.,P
Juegos de pólvora y mi perrito asustado,N
@_Star_Vader tanto libro chiva que hay Y buen punto... Comida entonces,P
@Chamo_A_ la hijueputa tela se me salió. yo quería volver a quedar acostada.,N
Estoy así de no salir hoy.,N
Vamos a pasar año nuevo a la playa No? Bueno,NONE
Extraño todo de Belén Es tan chiva...,NEU
Y nos vamos encontrando a un ex en el hotel...,NONE
Mi hermano y yo convertimos el comedor principal en un café internet,NONE
"@edgumaco me acuerdo de la clínica Norza, el Peri, las casas en lotes llobet dañadas",NONE
Todavía no me he comido un maldito tamal,N
@oviedo_6 yo personalmente lo bloquearía inmediatamente pero al final yo no soy una belleza so,NEU
Hoy tuve mi primera premier y fue un éxito,P
@Jefersonserrano @luisricardo_28 @danielugalde07 @Stedich7 nombres yo llego hasta las 10:30 sábado a las 7 AM mejor jajaja,NONE
@vale24_12 siempre es bueno la opinión de un playo,P
Soy el ser más distraído del mundo,N
ojala que te de un bloqueo mas grande que el de mi cel,N
Toda mi familia va a estar dormida en mi graduación,N
Espero que mi jefe me de mañana libre,P
"@Ka_Arroyo_ jajaja yo nunca spoileo, eso lo odio pero le recomiendo no meterse a Tw mañana",P
"@hippielandsoul Yo defendía un poquito el 2016, ya no.",N
@valeriazumbado Esto es lo más triste :! Pero espero que el 24 sí,N
"@AfichesManudos Con las rayas más gruesas, me gusta Pumas sabe lo que hace",P
@vrandrd bueno igual la veré porque el protagonista es muy guapo,P
Para mi mamá toda la ropa que escojo es fea hasta que me la ve puesta,NEU
Llevaba tiempo de no estar tan quemada,N
"@germangn09 pero igual es feo, horrible, espantoso",N
"@LisethBriceno rajado que si, lo voy a extrañar un poquito",N
"Buen día @Dr_ivrecagu muchas gracias por su comentario, es un gusto servirle.",P
Sería la mejor compañía para Marce y Osquitar  Bueno y yo,P
@HenAubSol17 yo estoy igual... Hoy pequé feo,N
Feliz terminé cuatri fue un éxito . Ahora sueño con algo grande,P
"@ReinerJosueUH que raro, el mío si es real",NEU
Mis lunes no volverán a ser iguales @Luis_GadeaA,NONE
"@victorA_perez Ah bueno, gracias por estar taaaan pendiente de nosotros",P
Ayer me dieron una botella y le pegue un trago pensando que era yin o Fresca gracias marifer,N
@Leiva89 lo puse y ví la INT de Manning. Está empezando igual,NONE
@conejoceni01 dígame que no es caro porque ya estoy bien pobre,NONE
Amo la nueva canción de Sofía Reyes,P
Ya no me quiero mover Estúpidos aeropuertos.,N
La próxima vez que vaya a un bar hasta me sirvo yo solo.,NONE
Me corte el pelo y me siento demasiado pelona,N
mañana tengo el día libre y no tengo nada más que hacer que dormir,P
Cada vez que veo a esa muchacha está más guapa,P
@Lalusa @moboza @Andrey_Amador errar es d humanos. no debe d pasar a más.,P
@charlie10cr seguro las productoras estaban centradas en traer los de siempre,N
"Tener grandes eectativas a futuro, eso es vida",P
"@ignaciosolisw ya yo voy de vuelta, pero le dejé la pampa lindísima",P
"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible.",P
Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio,P
@KaroRC4 hay unos que son casi misión imposible pero está super lindo,P
"@cotarola Te mando un abrazo. Vienen días duros, pero se superan eventualmente",P
No me arrepiento de nada ah Ojalá tuviera dinero infinito,NEU
Cuando queres comprar muchas cosas pero eres pobre,N
Lo extraño demasiado! 5 días es demasiado para mí,N
@zeroanima Esto me hizo feliz pero aun mas triste por no poder teletrabajar,N
"@cmfluisangel ...Misionero ideal, Oh Claret! ...109 beatos nuevos",P
Mañana que entonces? -Yo buscando donde pasar navidad por que me dejaron solo,NONE
Me da tanta playada tener que ponerle el cono de nuevo a whiska,N
"Quiero amigos que le gusten mis gustos musicales, ya tengo pero viven largo",NONE
Qué rico el silencio de mi cuarto,P
"Desayuno guanacasteco Hoy es Nochebuena, hoy damos vueltita por Nicoya",P
"Pensé hacer algo con Belén y machu, pero de nuevo me dejaron sola",N
"Feliz navidad, feliz navidad, feliz navidad y feliz navidad",P
@__el_Negro ah mae que duro eso en este día,N
@Chelo1478 porque si digo que quiero mamón chino me dicen una vulgaridad,N
@gaby_mata25 @LuisEs22 Fue la última vez que fuimos al cine,NONE
"@moriuper hola! No, ya no hay más sur",NONE
"@KimberlyReyesC4 Como te digo, come maaaas y en mi casa sólo estamos mamá y yo",NEU
"@Jey_Gut Aun no tenemos fechas definidas, pero te avisamos apenas sepamos",NONE
@msalgadocr de fijoooo. Y luego juntos olvidamos que fuimos a Palmares,NEU
"@eebenitez_ Jajaja es muy triste esto, pero ya hoy consigo otro",P
Mami se acaba de ir y ya la extraño,N
@JuanamartinezH Seguirme es lo único que tienes que hacer.,NONE
Ayer lloré viendo a @AlexBadilla en el snap que playada,N
@CNCOmusic reggaeton lento la canción del fin de año,NONE
"@BrujaMalvada_ no tengo en la casa apenas entre, te mando uno así jaja",NEU
@argmau deben ser mejores las que no me hacen menchon,P
"Estoy viendo #Bridegroom en Netflix y me tiene de un puro moco, véanla!",P
Ser productora radiofónica es lo mejor de la vida,P
@nubecina @grassengel pero no están en el cantón central de SJO,NONE
Si ocupan gente para una mejenga yo estoy disponible,NONE
@jatenas @Amareto Abrazote enorme!! Sos un éxito!,P
@Jovel_Alvarez no sé si a todos les funcione pero ¡nosotros sí que lo vemos cumplido!,P
Quiero como tener carro para hacer todo rápido,NEU
Tristeza más hp me da siempre en año nuevo,N
no encuentro ninguna buena serie en NF.,N
@Alphasniper97 Alpha suerte y ten un feliz año 2017,P
"@sancarlena77 @miguelpintor05 @demalaspalabras sip, te entendí por tu tuit anterior",NONE
"— ¿Nivel de inglés? — Alto. — Traduzca juguete. — Toy. — Úselo en una oración. — Toy triste. — Awww, vengache pa' acá. —",NEU
"Si soy de área 4 y con suerte pase mate IV y mate V ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",N
Sabían que su after fav Teatro G. fue construido para mi y un día de estos (hoy) les voy a dar el placer de que me vean ahí metido !!,P
"Y hoy por primera vez me salí con el permiso de mi mujer pero no es eso el detalle, si no saber q estarán a mi lado y q llegaré a casa",P
"¿Para qué hacen coraje con Ambriz?, al final no lo van a correr y saldrá con su típica frase: ""La culpa es mía, no de los jugadores""",N
- Yo Mamá por qué nunca en dejaste disfrutar mi juventud? Ya tengo 30 - Mamá Felipe llegabas borracho a los 17 años - Yo Ayñ mamá!!,N
Eso de no poder dormir y despertar en la madrugada se está volviendo muy recurrente y no está padre!! >.; yo no era así.,N
"- ¿Qué me estás arrimando? - Algo que te gusta mucho y está en mi entrepierna. - Amor, guarda ese pepino, tú pene no es tan grande. - Ay",N
"Lejos, lejos, muy lejos...manejar hasta acá esta padre! Algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",NEU
"Y fue como ""¿Viste cuantos akatsukis salen?"", ""¿Y Gaara?"", ""¿Y el imbécil de Sasuke?"". Fue como el TODO ese primer episiodio",N
"Mi vida es un eterno dilema entre ""mejor me duermo y mañana termino"" e ""'ingue su, me vo'a desvelar hasta morir y lo acabo de una vez"".",N
"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",N
"¿Cómo que no voy a ver a Sputnik, tampoco me voy a ir a aguascalientes, los Rebel ya tocaron y a Little va mi ex? Y los boletos de la WWE",N
"Buen dia! Elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! Yo elijo ser feliz!",P
"21 medallas de oro de Phelps, eso que?, La seleccion mexicana de fut ganaron 23 hace 4 años! Ah QUEEE??? Nadamás vale por una? Avisenme!",N
"-El de los tacos me dijo: "" Y la güera, joven? "" -Le dije que ya eras piña de otro taco, que ya otra salsa te enchilaba la carne.",N
"Traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. Ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",N
"Personas que dicen que el 29 de julio sera el fin, lo que no saben es que se acercan dos fin, el fin del mes y el fin de semana Buen día",NEU
"@gvlo2008 de hecho le di a ""Alejandra Zavala"", me fui con la finta de ""Alejandra"" y no leí el apellido, pensé que era la de Tiro con Arco",N
"Dios me ha sorprendido en esta semana,una caja de cafe,cosas de la tesis,vienen cosas mejores ya sige lo de mi maestría,y una ELLA,jajaja",P
"Te bloquee Crea cuentas huevo y solito se sigue y dá RT, porque ya no le creen sus fans. Ah qué mi paisano, ni me interesa su amistad.",N
"—Un café por favor. —El café, ¿lo va a querer solo? —No, sí quieres siéntate aquí a mi lado y me cuentas toda tu puta vida. — Ay",N
"La única ""persona"" a la que le cuento mis cosas es un niño de 5 años, no me critica, solo me escucha y lo mejor es que entiende un poco",N
"Lo bueno, Después de dos meses por fin un domingo libre a disfrutar. Lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer",NEU
"Que triste, es el primer dibujo que quiero que vea, que de verdad me gustó, en el cual me esforcé más que en otros, y no creo que lo vea",N
"Listo, por fin en casa, a dormir 4 horas nomás. Gracias a Dios mis papás están bien y les está yendo chingón. Ahora yo, a chingarle salu2",P
"Hay un niñ junto a mí jugando a preguntarse ""¿eres o te haces?"". Saben que la respuesta correcta es ""soy"". Nada mal, nada mal.",P
"Estoy en el ""Taco loco""venden más sopas,carnes, bebidas que tacos solo hay de bistec, pastor y chorizo. ¿Que clase de taco loco es esto?",N
"Pues yo leo que a muchos ""Luke Cage"" les ha parecido malita. Pero uno ve y tiene un 8.2 de promedio en RT. Al menos abre al debate",N
"Ni cigarros, ni galletas, ni caldo de camarón, ni michelada, ni papas a la francesa ... Qué clase de vida es esta??!!!",N
Porque the City? alcohol adulterado y exceso de gente. Es pesimo! He ido 2 veces y las dos me la pase del asco. No quiero ir otra vez,N
Me falta 12.32% para acabarme Just Cause 2. Este si es juego y no mamadas de Yirs ni FIFA papi. Ojalá tuviera Just Cause 1 en el xbox,P
"#SiQueríacontigoPero te mama YURI , LA TREVI , ANAHI , LAS JEANS!! ... Te enchilas si se meten con BRITNEY. No pues mejor así, COMO!!?",N
"Lo bueno que el ojete fui yo y que lo unico que me pese es no haberte dejado antes y calleras, pero no te deseo el mal n.n. Ya no más.",N
"Qué feo ha de ser que tu novi@ se vaya de viajey tu estes de que: me muero por que regreses, ya no puedo vivir asi y esas cosas, apoyalo",N
Yo - oye no aventamos 3 palitos al hilo Ella - ya se. Oye años de na mas 1; eres un tigre... A mi distinción erectil le gusta esto...,NEU
"Y me ha pasado con Carlos, Roberto, y una larga lista de amigos con los que la gente cree que me revuelco. Pero no, porque soy una ñoña",NEU
"Papá: vamos al beis Hijos: SIIII Mamá: no, vamos al cine Papá: al cabo que ni ganas de ir al beis tenia, que función quieres? Hijos:",NONE
Haré un libro que se llame: las mil y un millón de formas de cagarla. Obvio para que no hagan todo lo que yo hago y así tengan éxito.,N
"@Samm_Bntz Bebé, no sé si sea error de dedo cuando ando de chismosa o es que a Leos y a ti, no los quieren en mi lista de amigos en insta",N
Uju!!! A estas tempranas horas de la noche ya sólo me falta leer como 70 mensajes de whats que chido que me gusta Leer verdad!! (n.n)!,P
"@zommix no, que pendejada, ya se pelearon y ya se contentaron, y ahora la mamá ya le leyó la cartilla al guero, ya no lo va a dejar verla",N
"@esgarrTAM ¡Gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos",P
"@IslaReality #IslaRevancha, Ferka, era por Tony, Ivonne,Rafa,Delia, y Uds, 5 votos Vs él, no por Delia, siempre hay qué ir, más fuerte",NEU
(6:30 am) -Viridiana dónde estás? No piensas llegar! No tienes llenadera!- Yo: mamá estoy dormida en mi cuarto Mamá: Ah sí ya te vi,P
"O sea no es que sea mal pedo , pero si uno no puede venir a tomar a su casa con amigos pues los demás tampoco se quedaron sin fiesta. Ups",N
"Me enoja que otros me tiren la onda, que me inviten a salir, que se porten buena onda y que el que me gusta ni un pinche hola.",N
"Pues yo digo que todos aquí son felices, cada que les pregunto como están dicen: ""Bien"" en vez de ""De La Verga"" Para mí es suficiente",N
"""No hagan caso de nada de lo que diga Brenda, está tomando Tkt roja desde la 1 pm"" ""y Budweiser desde las 6pm"" atte. Sonia.",N
"Les juro, estoy solita en mi casa y no sé si es sugestión, bajé al cuarto de Lim a dormir y ya me arropé, sólo pido que ya vuelva",N
"Hoy reafirme que soy un adulto y no. 1. No necesito pedir permiso a nadie para ir a algún lugar. 2. Me sigue dando miedo ""It""",N
@MayezPalacios No mames! No son fieles ni a su propia raza!!! Ya no sé que esperar lo malo es que tengo una coneja y es igual. Complot,N
"Buenos días!!! No te enojes. Recuerda que la gente no te hace cosas, la gente hace cosas y tú decides si te afectan o no... Besitos",P
"Es que, quizá, el miedo al amor, nos hace estar con las personas incorrectas, pero ""seguros"". Esta noche me duermo con un sabor amargo.",N
Ya me cansé de ver los juegos de la #LMB que se terminen muy noche.. piensan que uno no va a trabajar al día siguiente. O que pedo???,N
"Oigan no, no nos hagan eso a las locas, madrugar no es pa nosotras. Así que, cadena de oración pa que pueda dormir aunque sea 3 horas.",N
Ayer fue cumpleaños del amor de mi vida que ya no está en mi vida pero que fue y será un buen amor en mi vida. Ojalá la haya pasado feliz,P
Me dijo : ¿ Y no crees que te esta cayendo mal esa terapia ? Yo no veo cambios y antes no te ponías asi!? Lo hacias y ya! Jajajaja,N
"Igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿Soy el único que le preocupa que se lastimó, se ve que se cortó!",N
"Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo ""oh, mexican 10""",N
"Pero ya siendo serios les respondo algo así como: ""Fanon, F. (1965). Los condenados de la tierra. México: Fondo de Cultura Económica.""",NONE
"Es taaaaaan triste que teoría de juegos este en mi plan de estudios en la UAM, pero no en el campus al que voy a licitar en España.",N
"Hoy por fin no cene comida de la calle, hoy fuimos a walmart y comprams para que yo le hiciera de cenar, dsps de toda la semana cenar mal",P
"No ire a la facu porque esta muy feo el clima no hay taxis, Uber, mi mama no me quiere llevar, no me quiero mojar, pues me duermo",N
Y desperté y me fui llorando con mi mamá. Desperté en el sueño como unas 5 veces. Nunca había batallado tanto. Me muero si me pasa sola,N
"@GaCaela ya sé. No te vi en ésta, pero me contaron de ""la modelo se paseó desnuda como si nada"", y pensé en tu primera vez toda nerviosa",NEU
"@weexmx Un mes esperando mi chip 4G, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay",N
"@Dianybony jajajaja claro que no amor!! te amo mucho, ya te estoy esperando en el aeropuerto!!!! Ya sal, que te quiero veeeer!!",P
"Hablar con mi amiga Sheli y me cuenta que anda viajando, de fiesta , que la uni se la suda... Me hace sentir bien y que yo soy feliz",P
"@Extranjerodm exacto, la foto la tomé en la rueda de prensa, pues yo fui al que Fey subio y difundo mis fotos como ""esto es lo que hago""",P
